,Country_y,ISO3 Code,Value,Deaths
0,Afghanistan,AFG,-1.792,6.157
1,Albania,ALB,2.71,8.263
2,Algeria,DZA,1.701,4.718
3,American Samoa,ASM,0.727,5.6
4,Andorra,AND,0.975,
5,Angola,AGO,0.178,7.798
6,Antigua and Barbuda,ATG,0.749,6.484
7,Argentina,ARG,0.692,7.602
8,Armenia,ARM,0.64,9.801
9,Aruba,ABW,,9.362
10,Australia,AUS,0.301,6.3
11,Austria,AUT,2.286,10.3
12,Azerbaijan,AZE,-0.47,7.5
13,"Bahamas, The",BHS,0.411,6.93
14,Bahrain,BHR,2.087,2.439
15,Bangladesh,BGD,0.872,5.524
16,Barbados,BRB,,9.131
17,Belarus,BLR,2.883,13.0
18,Belgium,BEL,2.309,11.0
19,Belize,BLZ,1.794,4.797
20,Benin,BEN,1.952,8.567
21,Bhutan,BTN,1.717,6.261
22,Bolivia,BOL,1.773,6.762
23,Bosnia and Herzegovina,BIH,2.781,11.054
24,Botswana,BWA,-0.659,5.718
25,Brazil,BRA,1.19,6.614
26,British Virgin Islands,VGB,0.524,
27,Brunei Darussalam,BRN,1.09,4.656
28,Bulgaria,BGR,3.572,18.0
29,Burkina Faso,BFA,2.576,7.71
30,Burundi,BDI,,7.611
31,Cabo Verde,CPV,0.245,5.536
32,Cambodia,KHM,1.485,5.999
33,Cameroon,CMR,1.844,8.879
34,Canada,CAN,4.716,8.1
35,Cayman Islands,CYM,0.392,3.3
36,Central African Republic,CAF,1.602,11.722
37,Chad,TCD,1.217,11.715
38,Chile,CHL,0.259,6.348
39,China,CHN,0.226,7.07
40,"Hong Kong SAR, China",HKG,1.036,6.8
41,"Macao SAR, China",MAC,1.036,4.102
42,Colombia,COL,1.047,5.706
43,Comoros,COM,0.71,7.061
44,"Congo, Rep.",COG,1.132,6.546
45,Costa Rica,CRI,0.965,5.227
46,Croatia,HRV,2.613,14.1
47,Cuba,CUB,0.965,9.3
48,Cyprus,CYP,2.328,7.182
49,Czech Republic,CZE,2.715,12.1
50,"Korea, Dem. People's Rep.",PRK,0.748,9.315
51,"Congo, Dem. Rep.",COD,1.349,9.118
52,Denmark,DNK,2.59,9.4
53,Djibouti,DJI,,6.922
54,Dominica,DMA,0.279,
55,Dominican Republic,DOM,1.15,6.233
56,Ecuador,ECU,1.107,5.139
57,"Egypt, Arab Rep.",EGY,2.338,5.748
58,El Salvador,SLV,2.306,7.102
59,Equatorial Guinea,GNQ,1.011,8.908
60,Eritrea,ERI,,6.871
61,Estonia,EST,3.589,11.9
62,Eswatini,SWZ,0.643,8.877
63,Ethiopia,ETH,0.159,6.289
64,Faroe Islands,FRO,1.561,7.0
65,Fiji,FJI,0.917,8.327
66,Finland,FIN,5.442,10.0
67,France,FRA,1.653,9.9
68,French Polynesia,PYF,0.426,5.842
69,Gabon,GAB,1.052,6.603
70,"Gambia, The",GMB,2.81,7.55
71,Georgia,GEO,0.695,12.746
72,Germany,DEU,2.446,11.9
73,Ghana,GHA,1.875,7.145
74,Gibraltar,GIB,1.282,
75,Greece,GRC,2.595,12.2
76,Greenland,GRL,3.057,9.2
77,Grenada,GRD,0.401,9.587
78,Guatemala,GTM,1.588,4.706
79,Guinea,GIN,2.963,8.033
80,Guinea-Bissau,GNB,3.024,9.268
81,Guyana,GUY,1.082,7.65
82,Haiti,HTI,0.691,8.379
83,Honduras,HND,2.299,4.465
84,Hungary,HUN,3.21,14.5
85,Iceland,ISL,1.259,6.3
86,India,IND,0.825,7.301
87,Indonesia,IDN,0.546,6.567
88,"Iran, Islamic Rep.",IRN,-0.02,4.835
89,Iraq,IRQ,1.332,4.707
90,Ireland,IRL,0.05,6.4
91,Isle of Man,IMN,0.186,
92,Israel,ISR,1.98,5.3
93,Italy,ITA,1.53,12.6
94,Jamaica,JAM,1.266,7.612
95,Japan,JPN,-0.025,11.1
96,Jordan,JOR,2.294,3.916
97,Kazakhstan,KAZ,-3.697,8.6
98,Kenya,KEN,1.96,5.345
99,Kiribati,KIR,0.081,6.251
100,Kuwait,KWT,1.441,2.919
101,Kyrgyz Republic,KGZ,-1.598,6.1
102,Lao PDR,LAO,0.882,6.317
103,Latvia,LVA,3.121,15.2
104,Lebanon,LBN,2.243,4.566
105,Lesotho,LSO,0.706,13.689
106,Liberia,LBR,1.662,7.257
107,Libya,LBY,1.443,5.119
108,Liechtenstein,LIE,1.891,8.2
109,Lithuania,LTU,2.949,15.6
110,Luxembourg,LUX,2.615,7.3
111,Madagascar,MDG,1.404,5.819
112,Malawi,MWI,0.554,6.26
113,Malaysia,MYS,1.235,5.254
114,Maldives,MDV,1.124,2.734
115,Mali,MLI,2.945,9.163
116,Malta,MLT,1.348,7.9
117,Marshall Islands,MHL,0.481,
118,Mauritania,MRT,2.326,7.026
119,Mauritius,MUS,1.185,8.7
120,Mexico,MEX,0.331,6.15
121,"Micronesia, Fed. Sts.",FSM,0.055,6.681
122,Monaco,MCO,0.762,
123,Mongolia,MNG,-1.65,6.354
124,Montenegro,MNE,2.864,11.7
125,Morocco,MAR,2.07,5.064
126,Mozambique,MOZ,0.942,7.951
127,Myanmar,MMR,1.934,8.253
128,Namibia,NAM,1.092,7.732
129,Nauru,NRU,,
130,Nepal,NPL,0.218,6.288
131,Netherlands,NLD,2.384,9.7
132,New Caledonia,NCL,1.483,5.921
133,New Zealand,NZL,0.516,6.41
134,Nicaragua,NIC,1.067,5.091
135,Niger,NER,2.636,7.817
136,Nigeria,NGA,2.506,11.422
137,North Macedonia,MKD,3.5,12.4
138,Norway,NOR,4.188,7.5
139,Oman,OMN,0.107,2.42
140,Pakistan,PAK,-0.264,6.844
141,Palau,PLW,-0.075,7.6
142,West Bank and Gaza,PSE,1.951,3.451
143,Panama,PAN,1.057,5.143
144,Papua New Guinea,PNG,0.249,7.295
145,Paraguay,PRY,1.015,5.587
146,Peru,PER,0.743,5.662
147,Philippines,PHL,1.6,5.979
148,Poland,POL,2.82,12.6
149,Portugal,PRT,1.332,12.0
150,Puerto Rico,PRI,0.844,9.6
151,Qatar,QAT,1.912,1.294
152,"Korea, Rep.",KOR,-0.231,5.9
153,Moldova,MDA,2.726,11.776
154,Romania,ROU,3.619,15.4
155,Russian Federation,RUS,1.142,14.6
156,Rwanda,RWA,,5.047
157,St. Kitts and Nevis,KNA,0.749,
158,St. Lucia,LCA,0.292,7.334
159,St. Vincent and the Grenadines,VCT,0.377,9.384
160,Samoa,WSM,0.651,5.188
161,San Marino,SMR,1.701,9.9
162,Sao Tome and Principe,STP,1.033,4.706
163,Saudi Arabia,SAU,1.989,3.545
164,Senegal,SEN,2.823,5.481
165,Serbia,SRB,3.344,16.9
166,Seychelles,SYC,1.474,6.8
167,Sierra Leone,SLE,2.903,11.296
168,Singapore,SGP,1.593,5.2
169,Slovak Republic,SVK,3.275,10.8
170,Slovenia,SVN,2.296,11.4
171,Solomon Islands,SLB,0.625,4.221
172,Somalia,SOM,3.695,10.501
173,South Africa,ZAF,1.207,9.375
174,South Sudan,SSD,1.669,10.22
175,Spain,ESP,1.116,10.4
176,Sri Lanka,LKA,0.863,6.851
177,Sudan,SDN,2.317,7.047
178,Suriname,SUR,1.752,7.451
179,Sweden,SWE,4.976,9.5
180,Switzerland,CHE,1.779,8.8
181,Syrian Arab Republic,SYR,2.222,4.827
182,Tajikistan,TJK,-2.231,4.694
183,Thailand,THA,1.276,7.917
184,Timor-Leste,TLS,0.125,5.893
185,Togo,TGO,1.754,8.199
186,Tonga,TON,1.084,7.045
187,Trinidad and Tobago,TTO,1.033,8.637
188,Tunisia,TUN,1.145,6.258
189,Turkiye,TUR,2.749,5.484
190,Turkmenistan,TKM,-3.65,7.044
191,Turks and Caicos Islands,TCA,,
192,Tuvalu,TUV,0.309,
193,Uganda,UGA,1.077,6.242
194,Ukraine,UKR,1.814,15.9
195,United Arab Emirates,ARE,0.758,1.582
196,United Kingdom,GBR,0.679,10.4
197,Tanzania,TZA,0.878,6.122
198,United States,USA,2.017,10.3
199,Virgin Islands (U.S.),VIR,0.576,8.4
200,Uruguay,URY,0.825,9.477
201,Uzbekistan,UZB,-4.012,5.1
202,Vanuatu,VUT,0.778,5.129
203,"Venezuela, RB",VEN,0.801,7.218
204,Vietnam,VNM,0.503,6.444
205,"Yemen, Rep.",YEM,,5.976
206,Zambia,ZMB,0.192,6.216
207,Zimbabwe,ZWE,-0.146,7.692
