Entity,Code,Year,Annual CO2 emissions (per capita)
Qatar,QAT,2020,37.0193
New Caledonia,NCL,2020,30.4482
Mongolia,MNG,2020,26.978
Trinidad and Tobago,TTO,2020,25.3731
Brunei,BRN,2020,23.2203
Kuwait,KWT,2020,20.8251
Bahrain,BHR,2020,20.5456
Curacao,CUW,2020,20.3234
Saudi Arabia,SAU,2020,17.9672
Kazakhstan,KAZ,2020,15.5158
Australia,AUS,2020,15.3684
United Arab Emirates,ARE,2020,15.1933
Sint Maarten (Dutch part),SXM,2020,14.539
United States,USA,2020,14.2379
Canada,CAN,2020,14.1969
Faeroe Islands,FRO,2020,13.9957
Luxembourg,LUX,2020,13.059
Turkmenistan,TKM,2020,12.4914
Oman,OMN,2020,12.1729
Palau,PLW,2020,12.1246
South Korea,KOR,2020,11.6562
Taiwan,TWN,2020,11.4698
Bonaire Sint Eustatius and Saba,BES,2020,11.4662
Russia,RUS,2020,10.8072
Oceania,,2020,10.4864
Bermuda,BMU,2020,10.0276
North America,,2020,9.8051
High-income countries,,2020,9.7761
Greenland,GRL,2020,9.061
Iran,IRN,2020,8.8702
Saint Pierre and Miquelon,SPM,2020,8.7379
Iceland,ISL,2020,8.6036
Europe (excl. EU-28),,2020,8.5743
Malaysia,MYS,2020,8.4226
Anguilla,AIA,2020,8.2273
Czechia,CZE,2020,8.215
Japan,JPN,2020,8.1499
Netherlands,NLD,2020,8.0596
Poland,POL,2020,7.916
Estonia,EST,2020,7.8795
Singapore,SGP,2020,7.778
Europe (excl. EU-27),,2020,7.7416
Germany,DEU,2020,7.6901
South Africa,ZAF,2020,7.6204
Norway,NOR,2020,7.615
China,CHN,2020,7.4117
Libya,LBY,2020,7.3815
Equatorial Guinea,GNQ,2020,7.3167
Belgium,BEL,2020,7.2262
Finland,FIN,2020,7.0907
Aruba,ABW,2020,7.0548
Niue,NIU,2020,7.0124
New Zealand,NZL,2020,6.9418
Ireland,IRL,2020,6.7538
Austria,AUT,2020,6.7324
Europe,,2020,6.6081
Bosnia and Herzegovina,BIH,2020,6.5282
Israel,ISR,2020,6.5104
Guadeloupe,GLP,2020,6.4027
Martinique,MTQ,2020,6.258
Upper-middle-income countries,,2020,6.2205
Belarus,BLR,2020,6.0793
Slovenia,SVN,2020,6.043
Andorra,AND,2020,6.035
Bahamas,BHS,2020,5.9446
European Union (27),,2020,5.8362
European Union (28),,2020,5.7064
Slovakia,SVK,2020,5.6286
Bulgaria,BGR,2020,5.3888
Cyprus,CYP,2020,5.3805
Iraq,IRQ,2020,5.2416
Nauru,NRU,2020,5.2364
Turks and Caicos Islands,TCA,2020,5.2313
Reunion,REU,2020,5.1244
Lithuania,LTU,2020,5.0691
Montserrat,MSR,2020,5.0646
Italy,ITA,2020,5.0249
Greece,GRC,2020,5.0115
Hungary,HUN,2020,4.9973
Seychelles,SYC,2020,4.9936
Serbia,SRB,2020,4.9369
Ukraine,UKR,2020,4.8912
United Kingdom,GBR,2020,4.8549
Turkey,TUR,2020,4.6573
Laos,LAO,2020,4.6521
British Virgin Islands,VGB,2020,4.6053
Denmark,DNK,2020,4.5224
Cook Islands,COK,2020,4.5219
Spain,ESP,2020,4.4683
World,OWID_WRL,2020,4.4654
Antigua and Barbuda,ATG,2020,4.3952
Asia,,2020,4.3788
Chile,CHL,2020,4.2462
France,FRA,2020,4.2381
Hong Kong,HKG,2020,4.1668
Croatia,HRV,2020,4.1366
North America (excl. USA),,2020,4.1179
Saint Kitts and Nevis,KNA,2020,3.9863
Portugal,PRT,2020,3.9609
Asia (excl. China & India),,2020,3.959
Sweden,SWE,2020,3.8255
Lebanon,LBN,2020,3.8048
Suriname,SUR,2020,3.7914
Barbados,BRB,2020,3.7817
Switzerland,CHE,2020,3.7319
Azerbaijan,AZE,2020,3.7203
Romania,ROU,2020,3.7154
Liechtenstein,LIE,2020,3.6975
Thailand,THA,2020,3.6929
Montenegro,MNE,2020,3.6778
Malta,MLT,2020,3.6121
Latvia,LVA,2020,3.5907
Algeria,DZA,2020,3.5346
Argentina,ARG,2020,3.4733
North Macedonia,MKD,2020,3.4302
Uzbekistan,UZB,2020,3.3698
Maldives,MDV,2020,3.3235
Mauritius,MUS,2020,3.129
Venezuela,VEN,2020,2.9754
French Polynesia,PYF,2020,2.9486
Guyana,GUY,2020,2.8131
Botswana,BWA,2020,2.7721
Mexico,MEX,2020,2.7686
Grenada,GRD,2020,2.6203
Vietnam,VNM,2020,2.6126
Dominican Republic,DOM,2020,2.5599
Marshall Islands,MHL,2020,2.5557
Jamaica,JAM,2020,2.509
Georgia,GEO,2020,2.4988
Panama,PAN,2020,2.4983
Jordan,JOR,2020,2.498
Bhutan,BTN,2020,2.4953
French Guiana,GUF,2020,2.4386
Saint Lucia,LCA,2020,2.3956
Tunisia,TUN,2020,2.3799
Wallis and Futuna,WLF,2020,2.3541
South America,,2020,2.3079
Brazil,BRA,2020,2.1988
Indonesia,IDN,2020,2.1552
Egypt,EGY,2020,2.0859
Armenia,ARM,2020,1.9878
Macao,MAC,2020,1.9447
Dominica,DMA,2020,1.9343
Gabon,GAB,2020,1.9311
Saint Vincent and the Grenadines,VCT,2020,1.8827
Cuba,CUB,2020,1.7792
Bolivia,BOL,2020,1.7733
India,IND,2020,1.7694
Kyrgyzstan,KGZ,2020,1.7639
Ecuador,ECU,2020,1.7532
Colombia,COL,2020,1.7512
Lower-middle-income countries,,2020,1.7499
Morocco,MAR,2020,1.7484
Syria,SYR,2020,1.7446
Uruguay,URY,2020,1.6812
Albania,ALB,2020,1.5757
Saint Helena,SHN,2020,1.5638
Fiji,FJI,2020,1.5544
Costa Rica,CRI,2020,1.5523
Namibia,NAM,2020,1.5259
Belize,BLZ,2020,1.4657
Tonga,TON,2020,1.3597
Peru,PER,2020,1.3559
Micronesia (country),FSM,2020,1.2824
Moldova,MDA,2020,1.2759
Philippines,PHL,2020,1.2413
Samoa,WSM,2020,1.239
North Korea,PRK,2020,1.137
Mayotte,MYT,2020,1.1201
Pakistan,PAK,2020,1.0628
Paraguay,PRY,2020,1.0613
Guatemala,GTM,2020,1.0571
Lesotho,LSO,2020,1.0192
Tajikistan,TJK,2020,0.9906
Africa,,2020,0.9896
Cape Verde,CPV,2020,0.9891
Sri Lanka,LKA,2020,0.9857
Honduras,HND,2020,0.9753
El Salvador,SLV,2020,0.9441
Cambodia,KHM,2020,0.9167
Eswatini,SWZ,2020,0.8238
Nicaragua,NIC,2020,0.7659
Papua New Guinea,PNG,2020,0.7435
Mauritania,MRT,2020,0.7263
Zimbabwe,ZWE,2020,0.7086
Angola,AGO,2020,0.6754
Myanmar,MMR,2020,0.6676
Tuvalu,TUV,2020,0.6415
Senegal,SEN,2020,0.6242
Nigeria,NGA,2020,0.6086
Vanuatu,VUT,2020,0.591
Nepal,NPL,2020,0.582
Kiribati,KIR,2020,0.5699
Palestine,PSE,2020,0.5682
Congo,COG,2020,0.5648
Bangladesh,BGD,2020,0.5637
Benin,BEN,2020,0.5529
Ghana,GHA,2020,0.515
Sao Tome and Principe,STP,2020,0.5144
Solomon Islands,SLB,2020,0.435
Sudan,SDN,2020,0.4301
Timor,TLS,2020,0.3987
Cote d'Ivoire,CIV,2020,0.3818
Zambia,ZMB,2020,0.3575
Djibouti,DJI,2020,0.3557
Yemen,YEM,2020,0.3275
Afghanistan,AFG,2020,0.3124
Kenya,KEN,2020,0.3003
Comoros,COM,2020,0.2972
Togo,TGO,2020,0.2647
Cameroon,CMR,2020,0.2595
Guinea,GIN,2020,0.2584
Haiti,HTI,2020,0.256
Low-income countries,,2020,0.2358
Mozambique,MOZ,2020,0.2102
Gambia,GMB,2020,0.2069
Eritrea,ERI,2020,0.2037
Liberia,LBR,2020,0.1995
Burkina Faso,BFA,2020,0.1899
Tanzania,TZA,2020,0.1831
Mali,MLI,2020,0.1674
Guinea-Bissau,GNB,2020,0.1457
Madagascar,MDG,2020,0.1329
Ethiopia,ETH,2020,0.1276
Sierra Leone,SLE,2020,0.11
Uganda,UGA,2020,0.107
South Sudan,SSD,2020,0.1053
Rwanda,RWA,2020,0.0797
Malawi,MWI,2020,0.0729
Niger,NER,2020,0.0698
Chad,TCD,2020,0.0555
Burundi,BDI,2020,0.0506
Central African Republic,CAF,2020,0.0389
Somalia,SOM,2020,0.0354
Democratic Republic of Congo,COD,2020,0.0277
